Ano,ID,Camada,Quadrado,Nivel,MateriaPrima,Classe,Morfologia Bordos,Cortex,Localizacao,Espessura,Largura,Comprimento,Talao,Presença Labial,Secção,Acabamento Distal,Perfil,Face dorsal,Padrão,Abrasão,Tipologia Bordeana,Observações
2009,1868,C,I16,5,Sílex,Lasca,Convergentes,Sem-Cortex,,5.22,19.25,23.53,Liso,Não,Triangular,Ressalto,Encurvado,2,Paralelo-Proximal,,,
2009,1303,C,I16,4,Sílex,Lasca,Divergentes,Sem-Cortex,,3.17,17.2,22.7,Liso,Não,Direita,Natural,Direito,2,Paralelo-Proximal,,,
2009,2200,C,I16,6,Sílex,Lâmina-Proximal,Divergentes,Sem-Cortex,,1.92,13.17,,Linear,Não,Direita,,Torcido,1,Paralelo-Proximal,,,
2009,1942,C,I17,5,Outra,,Irregulares,25-75%,Distal,3.25,24.99,,,,Direita,Natural,Direito,,Não-Indentificável,,,
2009,1804,C,I16,5,Grauvaque,Lasca,Convergentes,Sem-Cortex,,4.27,31.89,18.59,Cortical,Não,Direita,Natural,Direito,2,Não-Indentificável,,,
2009,1650,C,K15,3,Sílex,Lamela-Proximal,,Sem-Cortex,,1.92,9.96,,Linear,Não,Triangular,,,2,Paralelo-Proximal,,,
2009,965,C,H18,4,Grauvaque,Lasca,Irregulares,Sem-Cortex,,17.79,54.69,36.46,Cortical,Não,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
2009,160,C,H18,2,Sílex,Lasca,Irregulares,Sem-Cortex,,1.76,18.11,19.32,Punctiforme,Não,Direita,Natural,Direito,,Não-Indentificável,,,
2009,1996,C,I17,5,Sílex,Lamela,Paralelos,<25%,Lateral,2.06,11.38,26.51,Linear,Não,Trapezoidal,Natural,Direito,2,Paralelo-Proximal,,,
2009,421,C,H18,2,Sílex,Lasca-Distal,Irregulares,Sem-Cortex,,7.32,28.61,,,,Irregular,Natural,Torcido,3,Bidireccional-Paralelo,,,
2009,1710,C,I16,5,Sílex,Lâmina,Divergentes,25-75%,Lateral,4.19,14.83,30.27,Liso,Não,Triangular,Ultrapassagem,Encurvado,1,Paralelo-Proximal,,,
2009,1226,C,K15,2,Quartzo,Lasca,Paralelos,Sem-Cortex,,9.02,14.42,27.82,Liso,Não,Trapezoidal,Natural,Direito,3,Paralelo-Proximal,,,
2009,665,C,G17,2,Outra,Lasca-Proximal,Paralelos,Sem-Cortex,,5.28,25.9,,Liso,Não,Trapezoidal,,Direito,3,Paralelo-Proximal,,,
2009,2142,C,I18,6,Quartzo,Lasca,Paralelos,Sem-Cortex,,9.67,17.46,24.37,Liso,Não,Irregular,Natural,Direito,2,Paralelo-Proximal,,,
2009,2139,C,J17,5,Sílex,Lasca,Divergentes,Sem-Cortex,,8.14,22.6,33.33,Liso,Não,Triangular,Natural,Direito,2,Paralelo-Proximal,,R,
2009,917,C,H17,4,Sílex,Lasca-Adelgaçamento,Irregulares,Sem-Cortex,,2.3,15.84,,,,Direita,Natural,Torcido,,Não-Indentificável,,,T. térmico
2009,1392,C,G17,6,Sílex,Lasca,Divergentes,<25%,Proximal,5.49,19.92,14.97,Linear,Não,Trapezoidal,Natural,Direito,4,Bidireccional-Paralelo,,,
2009,1585,C,I17,5,Grauvaque,Lasca,Divergentes,Sem-Cortex,,4.96,27.67,27.98,Liso,Não,Triangular,Natural,Direito,3,Paralelo-Proximal,,,
2009,2089,C,I16,6,Sílex,Lasca-Distal,Divergentes,Sem-Cortex,,2.09,17.42,,,,Direita,Natural,Direito,,Não-Indentificável,,,
2009,87,C,H17,2,Sílex,Lâmina,Paralelos,<25%,Distal,13.99,15.85,37.98,Diedro,Não,Trapezoidal,Ultrapassagem,Encurvado,4,Paralelo-Proximal,,,
2009,1314,C,I16,4,Sílex,Lamela-Mesial,Outro,Sem-Cortex,,1.74,10.08,,,,Triangular,,Direito,2,Não-Indentificável,,,
2009,1413,C,K16,3,Sílex,Lasca,Divergentes,Sem-Cortex,,4,13.61,16.31,Liso,Não,Triangular,Ressalto,Encurvado,2,Paralelo-Proximal,,,
2009,1621,C,I17,5,Sílex,Lasca,Divergentes,Sem-Cortex,,3.92,11.59,18.28,Liso,Não,Triangular,Natural,Encurvado,2,Paralelo-Proximal,,,
2009,1404,C,I16,4,Sílex,Lâmina,Paralelos,Sem-Cortex,,3.63,13.21,33.95,Liso,Não,Triangular,Natural,Torcido,2,Bidireccional-Paralelo,,,
2009,1447,C,G18,6,Quartzo,Lasca-Distal,Divergentes,Sem-Cortex,,5.07,16.98,,,,Triangular,Natural,Direito,2,Não-Indentificável,,,
2009,882,C,H17,4,Sílex,Lasca,Divergentes,Sem-Cortex,,4.62,16.2,23.07,Punctiforme,Não,Triangular,Natural,Direito,3,Paralelo-Proximal,,,
2009,2415,C,G17,Limp. Corte,Sílex,Lasca,Convergentes,Sem-Cortex,,3.74,16.73,15.84,Liso,Não,Triangular,Natural,Direito,2,Paralelo-Proximal,,,Calcinada
